Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;;Utilizar al menos un conocimiento informático;2023;77,8
Total Nacional;;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;;Utilizar al menos un conocimiento informático;2021;76,2
Total Nacional;;Utilizar al menos un conocimiento informático;2020;72,8
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;;Transferir ficheros entre el ordenador y otros dispositivos;2020;55
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2023;66,2
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2021;64,4
Total Nacional;;Instalar o configurar software o aplicaciones (apps);2020;60,6
Total Nacional;;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;;Copiar o mover ficheros o carpetas;2023;63,8
Total Nacional;;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;;Copiar o mover ficheros o carpetas;2021;64,7
Total Nacional;;Copiar o mover ficheros o carpetas;2020;60,8
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;50,3
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;47,9
Total Nacional;;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;42,8
Total Nacional;;Usar hojas de cálculo;2025;""
Total Nacional;;Usar hojas de cálculo;2024;..
Total Nacional;;Usar hojas de cálculo;2023;40,6
Total Nacional;;Usar hojas de cálculo;2022;""
Total Nacional;;Usar hojas de cálculo;2021;41,6
Total Nacional;;Usar hojas de cálculo;2020;40,4
Total Nacional;;Programar en un lenguaje de programación;2025;""
Total Nacional;;Programar en un lenguaje de programación;2024;..
Total Nacional;;Programar en un lenguaje de programación;2023;8,7
Total Nacional;;Programar en un lenguaje de programación;2022;""
Total Nacional;;Programar en un lenguaje de programación;2021;7,7
Total Nacional;;Programar en un lenguaje de programación;2020;7
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2023;75,1
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2021;71,8
Total Nacional;Andalucía;Utilizar al menos un conocimiento informático;2020;71,2
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Andalucía;Transferir ficheros entre el ordenador y otros dispositivos;2020;52,4
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2023;63,3
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2021;62
Total Nacional;Andalucía;Instalar o configurar software o aplicaciones (apps);2020;60,3
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2023;60
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2021;60,3
Total Nacional;Andalucía;Copiar o mover ficheros o carpetas;2020;58,1
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;49,1
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;43
Total Nacional;Andalucía;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;39,8
Total Nacional;Andalucía;Usar hojas de cálculo;2025;""
Total Nacional;Andalucía;Usar hojas de cálculo;2024;..
Total Nacional;Andalucía;Usar hojas de cálculo;2023;34,7
Total Nacional;Andalucía;Usar hojas de cálculo;2022;""
Total Nacional;Andalucía;Usar hojas de cálculo;2021;37,2
Total Nacional;Andalucía;Usar hojas de cálculo;2020;34,7
Total Nacional;Andalucía;Programar en un lenguaje de programación;2025;""
Total Nacional;Andalucía;Programar en un lenguaje de programación;2024;..
Total Nacional;Andalucía;Programar en un lenguaje de programación;2023;7,7
Total Nacional;Andalucía;Programar en un lenguaje de programación;2022;""
Total Nacional;Andalucía;Programar en un lenguaje de programación;2021;6,7
Total Nacional;Andalucía;Programar en un lenguaje de programación;2020;4,4
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2023;74,9
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2021;75,5
Total Nacional;Aragón;Utilizar al menos un conocimiento informático;2020;68,9
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2020;56,2
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2023;62,1
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2021;62,7
